"disclosure_year","disclosure_date","transaction_date","owner","ticker","asset_description","type","amount","representative","district","ptr_link","cap_gains_over_200_usd","lower_amount","upper_amount","pps_open","pps_high","pps_low","pps_close","sector","industry","fte","country","state","zip"
2021,"10/04/2021",2021-09-27,"joint","BP","BP plc","purchase","$1,001 - $15,000","Hon. Virginia Foxx","NC05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf",FALSE,1001,15000,26.91,27.24,26.9,27.08,"Energy","Oil & Gas Integrated",65900,"United Kingdom",NA,"SW1Y 4PD"
2021,"10/04/2021",2021-09-13,"joint","XOM","Exxon Mobil Corporation","purchase","$1,001 - $15,000","Hon. Virginia Foxx","NC05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf",FALSE,1001,15000,54.650002,55.93,54.619999,55.369999,"Energy","Oil & Gas Integrated",63000,"United States","TX","75039-2298"
2021,"10/04/2021",2021-09-10,"joint","ILPT","Industrial Logistics Properties Trust - Common Shares of Beneficial Interest","purchase","$15,001 - $50,000","Hon. Virginia Foxx","NC05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf",FALSE,15001,50000,26.83,26.83,26.120001,26.18,"Real Estate","REIT—Industrial",NA,"United States","MA","02458"
2021,"10/04/2021",2021-09-28,"joint","PM","Phillip Morris International Inc","purchase","$15,001 - $50,000","Hon. Virginia Foxx","NC05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf",FALSE,15001,50000,101.300003,101.300003,98.120003,98.419998,"Consumer Defensive","Tobacco",69600,"United States","NY","10017-5592"
2021,"12/01/2021",2021-12-01,"joint","AXP","American Express Company","purchase","$1,001 - $15,000","Hon. Aston Donald McEachin","VA04","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019930.pdf",FALSE,1001,15000,156.100006,157.070007,149.889999,150.059998,"Financial Services","Credit Services",64000,"United States","NY","10285"
2021,"11/02/2021",2021-10-13,"joint","MO","Altria Group Inc","purchase","$1,001 - $15,000","Hon. Virginia Foxx","NC05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf",FALSE,1001,15000,47.169998,48.23,46.799999,47.919998,"Consumer Defensive","Tobacco",6000,"United States","VA","23230"
2021,"11/02/2021",2021-10-08,"joint","GSK","GlaxoSmithKline PLC","purchase","$1,001 - $15,000","Hon. Virginia Foxx","NC05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf",FALSE,1001,15000,38.799999,38.990002,38.639999,38.709999,"Healthcare","Drug Manufacturers—General",90096,"United Kingdom",NA,"TW8 9GS"
2021,"11/02/2021",2021-10-07,"joint","OLP","One Liberty Properties Inc","purchase","$1,001 - $15,000","Hon. Virginia Foxx","NC05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf",FALSE,1001,15000,32,32,31.360001,31.57,"Real Estate","REIT—Diversified",9,"United States","NY","11021"
2021,"11/02/2021",2021-10-04,"joint","PPL","PPL Corporation","purchase","$1,001 - $15,000","Hon. Virginia Foxx","NC05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf",FALSE,1001,15000,27.940001,28.389999,27.92,28.290001,"Utilities","Utilities—Regulated Electric",5607,"United States","PA","18101-1179"
2021,"11/02/2021",2021-10-25,"joint","SCU","Sculptor Capital Management Inc Class A","purchase","$15,001 - $50,000","Hon. Virginia Foxx","NC05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf",FALSE,15001,50000,24.950001,25.1,24.57,24.65,"Financial Services","Asset Management",338,"United States","NY","10019"
