"","disclosure_year","disclosure_date","transaction_date","owner","ticker","asset_description","type","amount","representative","district","ptr_link","cap_gains_over_200_usd","lower_amount","upper_amount","symbol","pps_open","pps_high","pps_low","pps_close","sector","industry","fte","country","state","zip"
"1",2021,"10/04/2021",2021-09-27,"joint","BP","BP plc","purchase","$1,001 - $15,000","Hon. Virginia Foxx","NC05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf",FALSE,1001,15000,"BP",26.91,27.24,26.9,27.08,"Energy","Oil & Gas Integrated",65900,"United Kingdom",NA,"SW1Y 4PD"
"2",2021,"10/04/2021",2021-09-13,"joint","XOM","Exxon Mobil Corporation","purchase","$1,001 - $15,000","Hon. Virginia Foxx","NC05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf",FALSE,1001,15000,"XOM",54.650002,55.93,54.619999,55.369999,"Energy","Oil & Gas Integrated",63000,"United States","TX","75039-2298"
"3",2021,"10/04/2021",2021-09-10,"joint","ILPT","Industrial Logistics Properties Trust - Common Shares of Beneficial Interest","purchase","$15,001 - $50,000","Hon. Virginia Foxx","NC05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf",FALSE,15001,50000,"ILPT",26.83,26.83,26.120001,26.18,"Real Estate","REIT—Industrial",NA,"United States","MA","02458"
"4",2021,"10/04/2021",2021-09-28,"joint","PM","Phillip Morris International Inc","purchase","$15,001 - $50,000","Hon. Virginia Foxx","NC05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf",FALSE,15001,50000,"PM",101.300003,101.300003,98.120003,98.419998,"Consumer Defensive","Tobacco",69600,"United States","NY","10017-5592"
"5",2021,"10/04/2021",2021-09-17,"self","BLK","BlackRock Inc","sale_partial","$1,001 - $15,000","Hon. Alan S. Lowenthal","CA47","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019570.pdf",FALSE,1001,15000,"BLK",878.01001,887.559998,868.809998,876.630005,"Financial Services","Asset Management",18400,"United States","NY","10055"
"6",2021,"12/01/2021",2021-12-01,"joint","AXP","American Express Company","purchase","$1,001 - $15,000","Hon. Aston Donald McEachin","VA04","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019930.pdf",FALSE,1001,15000,"AXP",156.100006,157.070007,149.889999,150.059998,"Financial Services","Credit Services",64000,"United States","NY","10285"
"7",2021,"12/01/2021",2021-11-30,"","KPLTW","Katapult Holdings Inc - Warrant","purchase","$1,001 - $15,000","Hon. Austin Scott","GA08","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019915.pdf",FALSE,1001,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2021,"12/01/2021",2021-11-18,"","AMD","Advanced Micro Devices Inc","sale_full","$50,001 - $100,000","Hon. Thomas Suozzi","NY03","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf",FALSE,50001,1e+05,"AMD",157.070007,158.889999,152.559998,155.020004,"Technology","Semiconductors",15500,"United States","CA","95054"
"9",2021,"12/01/2021",2021-11-18,"","AAPL","Apple Inc","sale_full","$50,001 - $100,000","Hon. Thomas Suozzi","NY03","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf",FALSE,50001,1e+05,"AAPL",153.710007,158.669998,153.050003,157.869995,"Technology","Consumer Electronics",154000,"United States","CA","95014"
"10",2021,"12/01/2021",2021-11-24,"","MSFT","Microsoft Corporation","purchase","$50,001 - $100,000","Hon. Thomas Suozzi","NY03","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf",FALSE,50001,1e+05,"MSFT",336.279999,338.160004,333.910004,337.910004,"Technology","Software—Infrastructure",181000,"United States","WA","98052-6399"
