"","disclosure_year","disclosure_date","transaction_date","owner","ticker","asset_description","type","amount","representative","district","ptr_link","cap_gains_over_200_usd","lower_amount","upper_amount","symbol","pps_open","pps_high","pps_low","pps_close","sector","industry","fte","country","state","zip"
"1",2022,"02/18/2022",2022-01-28,"joint","ABBV","AbbVie Inc","purchase","$1,001 - $15,000","Hon. Josh Gottheimer","NJ05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf",FALSE,1001,15000,"ABBV",135.990005,137.979996,134.600006,137.919998,"Healthcare","Drug Manufacturers—General",50000,"United States","IL","60064-6400"
"2",2022,"02/18/2022",2022-01-31,"joint","AMD","Advanced Micro Devices Inc","sale_partial","$1,001 - $15,000","Hon. Josh Gottheimer","NJ05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf",FALSE,1001,15000,"AMD",107.93,114.309998,106.900002,114.25,"Technology","Semiconductors",15500,"United States","CA","95054"
"3",2022,"02/18/2022",2022-01-26,"joint","AMD","Advanced Micro Devices Inc","sale_partial","$1,001 - $15,000","Hon. Josh Gottheimer","NJ05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf",FALSE,1001,15000,"AMD",114.550003,117.160004,108.629997,110.709999,"Technology","Semiconductors",15500,"United States","CA","95054"
"4",2022,"02/18/2022",2022-01-31,"joint","ALGN","Align Technology Inc","sale_partial","$1,001 - $15,000","Hon. Josh Gottheimer","NJ05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf",FALSE,1001,15000,"ALGN",479.220001,498.690002,478,494.959991,"Healthcare","Medical Devices",22540,"United States","AZ","85281"
"5",2022,"02/18/2022",2022-01-26,"joint","ASML","ASML Holding NV New York Registry Shares","sale_partial","$1,001 - $15,000","Hon. Josh Gottheimer","NJ05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf",FALSE,1001,15000,"ASML",661.630005,679.380005,644.659973,653.26001,"Technology","Semiconductor Equipment & Materials",30861,"Netherlands",NA,"5504 DR"
"6",2022,"02/18/2022",2022-01-10,"joint","BIIB","Biogen Inc","purchase","$1,001 - $15,000","Hon. Josh Gottheimer","NJ05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf",FALSE,1001,15000,"BIIB",232.75,235.550003,230.539993,235.309998,"Healthcare","Drug Manufacturers—General",9610,"United States","MA","02142"
"7",2022,"02/18/2022",2022-01-31,"joint","BOOT","Boot Barn Holdings Inc","sale_partial","$1,001 - $15,000","Hon. Josh Gottheimer","NJ05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf",FALSE,1001,15000,"BOOT",86.699997,92.129997,86.260002,91.970001,"Consumer Cyclical","Apparel Retail",1500,"United States","CA","92618"
"8",2022,"02/18/2022",2022-01-10,"joint","COF","Capital One Financial Corporation","purchase","$1,001 - $15,000","Hon. Josh Gottheimer","NJ05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf",FALSE,1001,15000,"COF",156.789993,157.860001,154.100006,157.149994,"Financial Services","Credit Services",51500,"United States","VA","22102"
"9",2022,"02/18/2022",2022-01-31,"joint","KO","Coca-Cola Company","purchase","$1,001 - $15,000","Hon. Josh Gottheimer","NJ05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf",FALSE,1001,15000,"KO",60.299999,61.139999,60.150002,61.009998,"Consumer Defensive","Beverages—Non-Alcoholic",79000,"United States","GA","30313"
"10",2022,"02/18/2022",2022-01-26,"joint","EL","Estee Lauder Companies Inc","sale_partial","$1,001 - $15,000","Hon. Josh Gottheimer","NJ05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf",FALSE,1001,15000,"EL",298.429993,304.440002,289.140015,292.570007,"Consumer Defensive","Household & Personal Products",44640,"United States","NY","10153"
"11",2022,"02/18/2022",2022-01-25,"joint","FIS","Fidelity National Information Services","purchase","$1,001 - $15,000","Hon. Josh Gottheimer","NJ05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf",FALSE,1001,15000,"FIS",109.620003,111.68,106.809998,110.199997,"Technology","Information Technology Services",65000,"United States","FL","32204"
"12",2022,"02/18/2022",2022-01-26,"joint","FIS","Fidelity National Information Services","purchase","$1,001 - $15,000","Hon. Josh Gottheimer","NJ05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf",FALSE,1001,15000,"FIS",112.029999,112.589996,107.959999,108.989998,"Technology","Information Technology Services",65000,"United States","FL","32204"
"13",2022,"02/18/2022",2022-01-26,"joint","BEN","Franklin Resources Inc","sale_full","$1,001 - $15,000","Hon. Josh Gottheimer","NJ05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf",FALSE,1001,15000,"BEN",32.200001,32.68,31.32,31.74,"Financial Services","Asset Management",10400,"United States","CA","94403"
"14",2022,"02/18/2022",2022-01-15,"joint","BEN","Franklin Resources Inc","sale_partial","$1,001 - $15,000","Hon. Josh Gottheimer","NJ05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf",FALSE,1001,15000,NA,NA,NA,NA,NA,"Financial Services","Asset Management",10400,"United States","CA","94403"
"15",2022,"02/18/2022",2022-01-28,"joint","FCX","Freeport-McMoRan Inc","sale_partial","$1,001 - $15,000","Hon. Josh Gottheimer","NJ05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf",FALSE,1001,15000,"FCX",36.419998,36.48,34.939999,36.040001,"Basic Materials","Copper",24700,"United States","AZ","85004-2189"
"16",2022,"02/18/2022",2022-01-10,"joint","HQY","HealthEquity Inc","purchase","$1,001 - $15,000","Hon. Josh Gottheimer","NJ05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf",FALSE,1001,15000,"HQY",44.610001,49.650002,44.240002,49.52,"Healthcare","Health Information Services",3688,"United States","UT","84020"
"17",2022,"02/18/2022",2022-01-26,"joint","ISRG","Intuitive Surgical Inc","sale_partial","$1,001 - $15,000","Hon. Josh Gottheimer","NJ05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf",FALSE,1001,15000,"ISRG",269,275.01001,261.200012,264.459991,"Healthcare","Medical Instruments & Supplies",9793,"United States","CA","94086-5304"
"18",2022,"02/18/2022",2022-01-26,"joint","LRCX","Lam Research Corporation","sale_partial","$1,001 - $15,000","Hon. Josh Gottheimer","NJ05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf",FALSE,1001,15000,"LRCX",603.52002,614.219971,580.380005,596.669983,"Technology","Semiconductor Equipment & Materials",16900,"United States","CA","94538"
