"ticker","sector","industry","fte","country","state","zip"
"AAMC","Financial Services","Asset Management",24,"United States","VI","00820"
"AAU","Basic Materials","Gold",8,"Canada","BC","V6H 3R9"
"ACU","Consumer Defensive","Household & Personal Products",654,"United States","CT","06484"
"ADRA","Financial Services","Shell Companies",NA,"United States","NC","28217"
"ADRA-UN","","",NA,"United States","NC","28217"
"ADRA-WT","","",NA,"","",NA
"ADRT","Financial Services","Shell Companies",NA,"United States","NV","89141"
"ADRT-UN","","",NA,"United States","NV","89141"
"ADRT-WT","","",1,"United States","NV","89141"
"AE","Energy","Oil & Gas Refining & Marketing",710,"United States","TX","77027"
"AEF","Financial Services","Asset Management",NA,"United Kingdom",NA,"EC4M 9HH"
"AGE","Healthcare","Biotechnology",5,"United States","CA","94501"
"AIM","Healthcare","Biotechnology",21,"United States","FL","34473"
"AINC","Financial Services","Asset Management",5526,"United States","TX","75254"
"AIRI","Industrials","Aerospace & Defense",197,"United States","NY","11706"
"AMBO","Consumer Defensive","Education & Training Services",1088,"China",NA,"100043"
"AMPE","Healthcare","Biotechnology",20,"United States","CO","80112"
"AMS","Healthcare","Medical Care Facilities",19,"United States","CA","94111-2619"
"AP-WT","","",NA,"","",NA
"APT","Industrials","Building Products & Equipment",121,"Canada","ON","L3R 9R2"
"AREN","Communication Services","Internet Content & Information",333,"United States","NY","10281"
"ARMP","Healthcare","Biotechnology",69,"United States","CA","90292"
"ASM","Basic Materials","Other Precious Metals & Mining",NA,"Canada","BC","V6C 3P1"
"ASXC","Healthcare","Medical Devices",153,"United States","NC","27703"
"ATEST","","",NA,"","",NA
"ATEST-A","","",NA,"","",NA
"ATEST-B","","",NA,"","",NA
"ATEST-C","","",NA,"","",NA
"ATNM","Healthcare","Biotechnology",32,"United States","NY","10016"
"AUMN","Basic Materials","Other Precious Metals & Mining",248,"United States","CO","80401"
"AUST","Basic Materials","Gold",NA,"Canada","BC","V6C 0C3"
"AWX","Industrials","Waste Management",611,"United States","OH","44484-5555"
"AXU","Basic Materials","Other Precious Metals & Mining",187,"Canada","BC","V7X 1M9"
"BATL","Energy","Oil & Gas E&P",58,"United States","TX","77043"
"BCV","Financial Services","Asset Management",NA,"United States","NY","10580-1422"
"BCV-PA","","",NA,"United States","NY","10580-1422"
"BDL","Consumer Cyclical","Restaurants",665,"United States","FL","33334"
"BGI","Consumer Cyclical","Luxury Goods",296,"Canada","QC","H3A 2A5"
"BHB","Financial Services","Banks—Regional",495,"United States","ME","04609-0400"
"BKTI","Technology","Communication Equipment",113,"United States","FL","32904"
"BMTX","Technology","Software—Application",275,"United States","PA","19087"
"BMTX-WT","","",NA,"","",NA
"BRBS","Financial Services","Banks—Regional",513,"United States","VA","22901"
"BRG","Real Estate","REIT—Residential",NA,"United States","NY","10105"
"BRG-PC","","",NA,"United States","NY","10105"
"BRG-PD","","",NA,"United States","NY","10105"
"BRMK-WT","","",NA,"","",NA
"BRN","Energy","Oil & Gas E&P",35,"United States","HI","96813-2840"
"BTG","Basic Materials","Gold",NA,"Canada","BC","V6C 2X8"
"BTN","Consumer Cyclical","Leisure",158,"United States","NC","28209"
"BTTR","Consumer Defensive","Packaged Foods",43,"United States","FL","33626"
"CANF","Healthcare","Biotechnology",8,"Israel",NA,"4951778"
"CCF","Basic Materials","Specialty Chemicals",661,"United States","MA","02090-2315"
"CEI","Energy","Oil & Gas E&P",9,"United States","TX","77094"
"CET","Financial Services","Asset Management",NA,"United States","NY","10111"
"CEV","Financial Services","Asset Management",NA,"United States","MA","02110"
"CIK","Financial Services","Asset Management",NA,"United States","NY","10010-3629"
"CIX","Industrials","Security & Protection Services",570,"United States","TX","75240-2620"
"CKX","Energy","Oil & Gas E&P",NA,"United States","LA","70601"
"CLM","Financial Services","Asset Management",NA,"United States","NC","28803"
"CMCL","Basic Materials","Gold",NA,"Jersey",NA,"JE2 3NF"
"CMT","Basic Materials","Specialty Chemicals",1584,"United States","OH","43228-0183"
"COHN","Financial Services","Capital Markets",115,"United States","PA","19104"
"CPHI","Healthcare","Drug Manufacturers—Specialty & Generic",236,"China",NA,"570216"
"CQP","Energy","Oil & Gas Midstream",NA,"United States","TX","77002"
"CRF","Financial Services","Asset Management",NA,"United States","NC","28803"
"CTEK","Technology","Information Technology Services",89,"United States","TX","78759"
"CTGO","Basic Materials","Gold",6,"United States","TX","77098"
"CVM","Healthcare","Biotechnology",NA,"United States","VA","22182"
"CVR","Industrials","Tools & Accessories",201,"United States","IL","60563"
"CYBN","Healthcare","Biotechnology",50,"Canada","ON","M5X 1C9"
"DC","Basic Materials","Gold",24,"United States","SD","57754"
"DHY","Financial Services","Asset Management",NA,"United States","NY","10010-3629"
"DIT","Consumer Defensive","Food Distribution",749,"United States","NE","68122"
"DLA","Consumer Cyclical","Apparel Manufacturing",8900,"United States","GA","30097"
"DMF","Financial Services","Asset Management",NA,"United States","NY","10286"
"DNN","Energy","Uranium",NA,"Canada","ON","M5J 1T1"
"DPSI","Technology","Software—Application",100,"United States","CA","92653"
"DSS","Consumer Cyclical","Packaging & Containers",113,"United States","NY","14586"
"DXF","Financial Services","Credit Services",11,"China",NA,"430063"
"EAD","Financial Services","Asset Management",NA,"United States","CA","94105"
"ECF","Financial Services","Asset Management",NA,"United States","NY","10580-1422"
"ECF-PA","","",NA,"United States","NY","10580-1422"
"EIM","Financial Services","Asset Management",NA,"United States","MA","02110"
"ELA","Consumer Cyclical","Luxury Goods",256,"United States","TX","75038-5202"
"ELLO","Utilities","Utilities—Renewable",20,"Israel",NA,"6688121"
"ELMD","Healthcare","Medical Devices",132,"United States","MN","56071"
"EMAN","Technology","Electronic Components",101,"United States","NY","12533"
"EMX","Basic Materials","Other Industrial Metals & Mining",40,"Canada","BC","V6C 1X8"
"ENSV","Energy","Oil & Gas Equipment & Services",88,"United States","CO","80504"
"ENX","Financial Services","Asset Management",NA,"United States","MA","02110"
"EP","Energy","Oil & Gas E&P",31,"United States","OK","74114"
"EPM","Energy","Oil & Gas E&P",5,"United States","TX","77079"
"EQX","Basic Materials","Gold",NA,"Canada","BC","V6C 1G8"
"ERC","Financial Services","Asset Management",NA,"United States","CA","94105"
"ERH","Financial Services","Asset Management",NA,"United States","CA","94105"
"ESP","Industrials","Electrical Equipment & Parts",150,"United States","NY","12866-4755"
"EVBN","Financial Services","Banks—Regional",378,"United States","NY","14221"
"EVI","Industrials","Industrial Distribution",526,"United States","FL","33137"
"EVM","Financial Services","Asset Management",NA,"United States","MA","02110"
"EVV","Financial Services","Asset Management",NA,"United States","MA","02110"
"EXN","Basic Materials","Other Industrial Metals & Mining",257,"Canada","ON","M5C 1C3"
"FAX","Financial Services","Asset Management",NA,"Singapore",NA,"049480"
"FCO","Financial Services","Asset Management",NA,"United Kingdom",NA,"EC4M 9HH"
"FEN","Financial Services","Asset Management",NA,"United States","IL","60187"
"FRD","Basic Materials","Steel",101,"United States","TX","75601"
"FSI","Basic Materials","Specialty Chemicals",39,"Canada","AB","T1G 1X4"
"FSP","Real Estate","REIT—Office",34,"United States","MA","01880"
"FTF","Financial Services","Asset Management",NA,"United States","CA","94403-1906"
"FURY","Basic Materials","Other Industrial Metals & Mining",10,"Canada","BC","V6E 2K3"
"GAU","Basic Materials","Gold",NA,"Canada","BC","V6E 3X1"
"GBR","Real Estate","Real Estate Services",3,"United States","TX","75234"
"GGN","Financial Services","Asset Management",NA,"United States","NY","10580-1422"
"GGN-PB","","",NA,"United States","NY","10580-1422"
"GLDG","Basic Materials","Gold",22,"Canada","BC","V6E 2Y3"
"GLO","Financial Services","Asset Management",NA,"United States","MA","02109"
"GLQ","Financial Services","Asset Management",NA,"United States","MA","02109"
"GLTA","Financial Services","Shell Companies",NA,"United States","DC","20009"
"GLTA-UN","","",NA,"United States","DC","20009"
"GLTA-WT","","",NA,"","",NA
"GLU","Financial Services","Asset Management",NA,"United States","NY","10580-1422"
"GLU-PA","","",NA,"","",NA
"GLU-PB","","",NA,"United States","NY","10580-1422"
"GLV","Financial Services","Asset Management",NA,"United States","MA","02109"
"GNS","Consumer Defensive","Education & Training Services",241,"Singapore",NA,"049950"
"GOED","Consumer Cyclical","Specialty Retail",482,"United States","NY","11214"
"GOED-WT","","",NA,"","",NA
"GORO","Basic Materials","Gold",540,"United States","CO","80237"
"GPL","Basic Materials","Gold",NA,"Canada","BC","V6C 1S4"
"GRF","Financial Services","Asset Management",NA,"United States","WI","53202-3657"
"GROY","Basic Materials","Other Precious Metals & Mining",4,"Canada","BC","V6E 2Y3"
"GROY-WT","","",NA,"","",NA
"GSAT","Communication Services","Telecom Services",329,"United States","LA","70433"
"GSV","Basic Materials","Gold",20,"Canada","BC","V6C 1B4"
"GTE","Energy","Oil & Gas E&P",319,"Canada","AB","T2P 0R3"
"HNRA","Financial Services","Shell Companies",NA,"United States","TX","77098"
"HNRA-WT","","",NA,"United States","TX","77098"
"HNW","Financial Services","Asset Management",NA,"United States","MA","02109-1800"
"HUSA","Energy","Oil & Gas E&P",2,"United States","TX","77002"
"HWM-P","","",19900,"United States","PA","15212-5872"
"IAF","Financial Services","Asset Management",NA,"Australia","NSW","2000"
"IAUX","Basic Materials","Gold",NA,"United States","NV","89502"
"IBIO","Healthcare","Biotechnology",49,"United States","TX","77807"
"IBO","","",NA,"","",NA
"ID","Consumer Cyclical","Internet Retail",108,"United States","NJ","08512"
"IDR","Basic Materials","Gold",38,"United States","ID","83814"
"IDW","Communication Services","Publishing",78,"United States","NJ","07102"
"IE","Technology","Software—Application",89,"Canada","BC","V6C 3E1"
"IGC","Industrials","Conglomerates",52,"United States","MD","20854"
"IHT","Real Estate","REIT—Hotel & Motel",49,"United States","AZ","85020"
